participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P02,eegnet,P4,57,0.7125,0.7106250000000001,0.00187499999999996,0.6875,0.625,0.0625
P02,eegnet,P6,58,0.7125,0.6943750000000001,0.018124999999999947,0.6875,0.6625,0.025000000000000022
P02,eegnet,P8,59,0.7125,0.68625,0.026249999999999996,0.6875,0.6625,0.025000000000000022
P02,eegnet,P10,60,0.7125,0.7118749999999999,0.0006250000000000977,0.6875,0.6625,0.025000000000000022
P02,eegnet,PO8,61,0.7125,0.708125,0.004375000000000018,0.6875,0.6625,0.025000000000000022
P02,eegnet,PO4,62,0.7125,0.706875,0.005624999999999991,0.6875,0.6875,0.0
P02,eegnet,O2,63,0.7125,0.679375,0.03312500000000007,0.6875,0.6,0.08750000000000002
P03,eegnet,Fp1,0,0.660625,0.645625,0.015000000000000013,0.5875,0.6,-0.012499999999999956
P03,eegnet,AF7,1,0.660625,0.66875,-0.008124999999999938,0.5875,0.5875,0.0
P03,eegnet,AF3,2,0.660625,0.6531250000000001,0.007499999999999951,0.5875,0.575,0.012500000000000067
P03,eegnet,F1,3,0.660625,0.656875,0.003750000000000031,0.5875,0.6,-0.012499999999999956
P03,eegnet,F3,4,0.660625,0.6525000000000001,0.008124999999999938,0.5875,0.5875,0.0
P03,eegnet,F5,5,0.660625,0.6475000000000001,0.013124999999999942,0.5875,0.6,-0.012499999999999956
P03,eegnet,F7,6,0.660625,0.6525000000000001,0.008124999999999938,0.5875,0.6,-0.012499999999999956
P03,eegnet,FT7,7,0.660625,0.65,0.010624999999999996,0.5875,0.5875,0.0
P03,eegnet,FC5,8,0.660625,0.6675000000000001,-0.0068750000000000755,0.5875,0.575,0.012500000000000067
P03,eegnet,FC3,9,0.660625,0.66625,-0.005624999999999991,0.5875,0.6,-0.012499999999999956
P03,eegnet,FC1,10,0.660625,0.6749999999999999,-0.014374999999999916,0.5875,0.6125,-0.025000000000000022
P03,eegnet,C1,11,0.660625,0.6693750000000002,-0.008750000000000147,0.5875,0.6,-0.012499999999999956
P03,eegnet,C3,12,0.660625,0.6681250000000001,-0.007500000000000062,0.5875,0.6,-0.012499999999999956
P03,eegnet,C5,13,0.660625,0.654375,0.006249999999999978,0.5875,0.6,-0.012499999999999956
P03,eegnet,T7,14,0.660625,0.67125,-0.010624999999999996,0.5875,0.6125,-0.025000000000000022
P03,eegnet,TP7,15,0.660625,0.65625,0.004375000000000018,0.5875,0.5875,0.0
P03,eegnet,CP5,16,0.660625,0.6475,0.013125000000000053,0.5875,0.6,-0.012499999999999956
P03,eegnet,CP3,17,0.660625,0.6668750000000001,-0.006250000000000089,0.5875,0.625,-0.03749999999999998
P03,eegnet,CP1,18,0.660625,0.651875,0.008750000000000036,0.5875,0.6,-0.012499999999999956
P03,eegnet,P1,19,0.660625,0.6681250000000001,-0.007500000000000062,0.5875,0.5875,0.0
P03,eegnet,P3,20,0.660625,0.6687500000000001,-0.008125000000000049,0.5875,0.5875,0.0
P03,eegnet,P5,21,0.660625,0.663125,-0.0024999999999999467,0.5875,0.6,-0.012499999999999956
P03,eegnet,P7,22,0.660625,0.6749999999999999,-0.014374999999999916,0.5875,0.5875,0.0
P03,eegnet,P9,23,0.660625,0.665625,-0.0050000000000000044,0.5875,0.5875,0.0
P03,eegnet,PO7,24,0.660625,0.649375,0.011249999999999982,0.5875,0.5875,0.0
P03,eegnet,PO3,25,0.660625,0.6518750000000001,0.008749999999999925,0.5875,0.6,-0.012499999999999956
P03,eegnet,O1,26,0.660625,0.65125,0.009375000000000022,0.5875,0.575,0.012500000000000067
P03,eegnet,Iz,27,0.660625,0.669375,-0.008750000000000036,0.5875,0.65,-0.0625
P03,eegnet,Oz,28,0.660625,0.66,0.0006249999999999867,0.5875,0.6,-0.012499999999999956
P03,eegnet,POz,29,0.660625,0.6599999999999999,0.0006250000000000977,0.5875,0.575,0.012500000000000067
P03,eegnet,Pz,30,0.660625,0.655625,0.0050000000000000044,0.5875,0.575,0.012500000000000067
P03,eegnet,CPz,31,0.660625,0.6631250000000002,-0.0025000000000001688,0.5875,0.5875,0.0
P03,eegnet,Fpz,32,0.660625,0.65125,0.009375000000000022,0.5875,0.5875,0.0
P03,eegnet,Fp2,33,0.660625,0.6568750000000001,0.00374999999999992,0.5875,0.625,-0.03749999999999998
P03,eegnet,AF8,34,0.660625,0.6699999999999999,-0.009374999999999911,0.5875,0.5875,0.0
P03,eegnet,AF4,35,0.660625,0.68,-0.01937500000000003,0.5875,0.6,-0.012499999999999956
P03,eegnet,AFz,36,0.660625,0.6475000000000001,0.013124999999999942,0.5875,0.6125,-0.025000000000000022
P03,eegnet,Fz,37,0.660625,0.66125,-0.0006249999999999867,0.5875,0.5875,0.0
P03,eegnet,F2,38,0.660625,0.6706250000000001,-0.01000000000000012,0.5875,0.5875,0.0
P03,eegnet,F4,39,0.660625,0.668125,-0.007499999999999951,0.5875,0.6125,-0.025000000000000022
P03,eegnet,F6,40,0.660625,0.684375,-0.023749999999999938,0.5875,0.6125,-0.025000000000000022
P03,eegnet,F8,41,0.660625,0.6593749999999999,0.0012500000000000844,0.5875,0.575,0.012500000000000067
P03,eegnet,FT8,42,0.660625,0.65625,0.004375000000000018,0.5875,0.575,0.012500000000000067
P03,eegnet,FC6,43,0.660625,0.6675000000000001,-0.0068750000000000755,0.5875,0.575,0.012500000000000067
P03,eegnet,FC4,44,0.660625,0.66625,-0.005624999999999991,0.5875,0.6125,-0.025000000000000022
P03,eegnet,FC2,45,0.660625,0.6312500000000001,0.02937499999999993,0.5875,0.575,0.012500000000000067
P03,eegnet,FCz,46,0.660625,0.65375,0.0068749999999999645,0.5875,0.5875,0.0
